id,branche,bran_4,filter,ost,gb,bges,gk3n,bhsp,bhspno,um,umx,lp,lpx,exs,exsx,exno,umpr1,pd,pz,pdpp,pddl,umneu,umunw,mneu,mneup,pzfv,pzlv,pziv,pzua,pzgp,pzao,pzmm,rek,rekp,pn,pa,pok,fuekon,fuesp,fuespx,fueint,fueext,fueexti,fueexta,fueoef,fueoefmno,iafueno,iavfueno,iavfueewr,iavfueso,iasono,ias,iasx,iainvs,iainvsx,iafues,iafuesx,iavfues,iavfuesx,iasos,iasosx,fue_bkosts,fue_bkostsx,fues,fuesx,fueoefms,fueoefmsx,iagesno,iainvno,pdz2022,pdz2023,iae2022,iae2023,iap2022,iap2022x,iap2023,iap2023x,uk1z,uk1r,uk1s,uk1l,uk2k,uk2m,uk2e,uk2i,uk3v,uk3a,uk3l,uk3r,uk4z,uk4s,uk4w,uk4b,ghvar,ghf1,ghf2,ghf3,ghe1,ghe2,ghe3,ghp1,ghp2,ghvarp,maein1,maein2,maein3,maein4,maein5
300127,Electrical equipment,Research-intensive Industry,no,yes,,31.41932398080826,<50 employees,10<=x<15,no,2.792828798294067,No truncation,.088888891,No truncation,.1,No truncation,no,90<=x<=100,yes,yes,yes,no,20<=x<30,75<=x<=100,no,x=0,yes,no,yes,no,yes,yes,yes,yes,,yes,yes,yes,continuously,.13333334,No truncation,yes,yes,yes,no,yes,no,no,yes,,,no,.125,No truncation,,,.1,No truncation,0,No truncation,.025,No truncation,.075000003,No truncation,.1,No truncation,.037500001,No truncation,nein,,planned,planned,increase,increase,,,,,1,2,3,4,2,4,3,1,2,3,1,4,3,2,4,1,yes,no,yes,no,yes,no,no,no,yes,10<=x<20,no,no,no,yes,yes
300139,Metals,Other Industry,no,yes,Sector,20.35999155044556,<50 employees,15<=x<20,no,13.93052053451538,No truncation,.68421054,No truncation,.65384614,No truncation,no,90<=x<=100,yes,yes,yes,yes,20<=x<30,75<=x<=100,no,x=0,yes,yes,no,no,yes,yes,yes,no,x=0,yes,no,no,continuously,.2631579,No truncation,yes,no,,,no,,yes,yes,,,yes,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,,,ja,yes,planned,planned,no change,,,,,,,,,,,,,,,,,,,,,,,no,no,no,no,no,no,no,no,,,,,,
300304,Plastics,Other Industry,no,yes,Sector,97.93278670310974,50-249 employees,10<=x<15,no,15.06971274614334,No truncation,.14773937,No truncation,.52205223,No truncation,no,70<=x<80,yes,yes,yes,no,30<=x<50,50<=x<75,no,x=0,yes,yes,yes,yes,yes,no,no,no,x=0,yes,no,no,continuously,.16620499,No truncation,yes,yes,,,no,,no,no,,,yes,.11521152,No truncation,.036003601,No truncation,.11161116,No truncation,.0036003601,No truncation,0,No truncation,.072007202,No truncation,.11521152,No truncation,,,nein,no,planned,planned,no change,no change,95.583,No truncation,95.583,No truncation,2,3,3,3,2,3,3,4,3,2,3,3,2,2,2,2,yes,yes,no,no,no,no,yes,yes,no,0<x<10,yes,,no,yes,yes
300895,Electrical equipment,Research-intensive Industry,no,yes,,68.94964563846588,50-249 employees,10<=x<15,no,7.540770155668258,No truncation,.10621154,No truncation,.19047619,No truncation,no,80<=x<90,no,yes,no,no,,,,,yes,no,no,no,no,no,no,yes,0<x<5,no,no,no,never,,,no,no,,,no,,yes,yes,,,no,.0041644033,No truncation,0,No truncation,0,No truncation,0,No truncation,.0041644033,No truncation,,,0,No truncation,,,nein,yes,No,No,,,,,,,1,3,1,2,3,3,1,2,3,2,2,2,3,1,1,2,yes,yes,yes,yes,yes,no,yes,no,yes,90<=x<=100,no,no,yes,no,yes
301078,Machinery,Research-intensive Industry,yes,no,Sector,494.2970842123032,>=250 employees,20<=x<30,no,129.3404242289066,No truncation,.24531128,No truncation,.94685626,No truncation,no,10<=x<20,no,no,no,no,,,,,no,no,no,no,no,no,no,,,no,no,no,continuously,.013071896,No truncation,yes,yes,,,no,,no,no,100,0,no,.011160291,No truncation,.000019982615,No truncation,.0087623764,No truncation,.0023779313,No truncation,.000019982615,No truncation,.0031872271,No truncation,.011140308,No truncation,,,nein,no,not known yet,not known yet,unknown,unknown,,,,,2,2,3,2,2,2,2,2,2,2,1,2,2,1,1,1,yes,yes,yes,yes,yes,no,no,no,yes,90<=x<=100,yes,yes,yes,yes,yes
301084,Mining,Other Industry,yes,no,Sector,337.2310820817947,>=250 employees,30<=x<50,no,153.4131387410164,No truncation,.42858246,No truncation,.019738674,No truncation,no,90<=x<=100,no,no,no,no,,,,,no,no,no,no,no,no,no,,,no,no,no,never,,,no,no,,,no,,yes,yes,,,yes,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,,,ja,yes,not known yet,not known yet,unknown,unknown,,,,,,,,,,,,,,,,,,,,,yes,no,yes,no,yes,no,yes,no,yes,90<=x<=100,yes,,,yes,
301252,Textiles,Other Industry,no,no,Sector,106.1722022294998,50-249 employees,20<=x<30,no,19.06766080856323,No truncation,.16923077,No truncation,.5,No truncation,no,90<=x<=100,yes,yes,yes,yes,10<=x<15,75<=x<=100,no,x=0,no,no,yes,no,yes,yes,yes,no,x=0,yes,yes,no,continuously,.03265306,No truncation,yes,yes,yes,no,no,,no,no,90,10,no,.013636364,No truncation,.0022727272,No truncation,.0090909088,No truncation,.0022727272,No truncation,.0022727272,No truncation,.0045454544,No truncation,.011363637,No truncation,,,nein,no,planned,planned,no change,no change,95.583,No truncation,95.583,No truncation,1,4,3,2,2,3,1,4,3,1,2,4,4,3,2,1,yes,yes,no,no,yes,no,yes,yes,yes,10<=x<20,yes,no,yes,yes,yes
301396,Mining,Other Industry,no,no,Sector,80.89775085449219,50-249 employees,10<=x<15,no,57.72863500976563,No truncation,.6487273,No truncation,0,No truncation,yes,90<=x<=100,yes,yes,,,0<x<5,75<=x<=100,no,x=0,yes,no,yes,yes,yes,yes,yes,no,x=0,no,no,no,never,,,no,no,,,no,,yes,yes,,,yes,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,,,ja,yes,,,,,,,,,3,4,2,1,3,4,1,2,3,1,4,2,4,2,1,3,yes,no,yes,yes,yes,no,yes,yes,no,90<=x<=100,yes,no,no,no,no
301420,Plastics,Other Industry,no,no,Sector,383.0914902213262,>=250 employees,20<=x<30,no,88.64608947551251,No truncation,.22280087,No truncation,.34290582,No truncation,no,10<=x<20,yes,yes,yes,no,30<=x<50,50<=x<75,yes,5<=x<10,yes,yes,yes,yes,yes,yes,no,yes,0<x<5,yes,yes,yes,continuously,.022480099,No truncation,yes,yes,yes,no,no,,,,,,,,,,,,,,,,,,,,,,,,,planned,planned,increase,increase,,,,,1,2,3,2,3,2,1,3,2,2,1,3,3,2,2,1,no,,,,,,,,,,yes,yes,no,no,no
301828,Metals,Other Industry,no,no,Sector,790.3793090581894,>=250 employees,10<=x<15,no,670.1833772659302,No truncation,.83636361,No truncation,,,,80<=x<90,no,yes,no,no,,,,,no,yes,yes,no,no,no,no,no,x=0,yes,yes,yes,ocassionally,.0092165899,No truncation,yes,yes,no,yes,yes,no,no,no,100,0,yes,.00081521738,No truncation,.00010869565,No truncation,.00065217394,No truncation,.00016304349,No truncation,0,No truncation,.00054347824,No truncation,.00081521738,No truncation,.00010869565,No truncation,nein,no,planned,planned,no change,increase,,,,,3,3,3,1,2,3,1,3,3,2,1,2,2,2,2,2,yes,yes,no,no,no,no,yes,yes,no,0<x<10,yes,no,no,yes,no
